id,cid,tag,blabel,publicview,imgvh,title1,creator1,contributor1,contributor2,contributor3,contributor4,contributor5,contributor6,contributor7,contributor8,contributor9,subject1,subject2,subject3,description1,description2,description3,description4,publisher1,date1,type1,type2,format1,identifier1,identifier2,source1,language1,relation1,coverage1,pdffile,pdfsize,donated
1,0,0012_003049_000201,Our Town,1,650,Our Town,University of Tennessee Theatre Department ,"Wilder, Thornton",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, February 18, 1941, Tyson Junior High School, Directed by Paul L. Soper",1940-41,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1941-02-18,Text,,image/jpeg,0235,,,English,,"Feb 18, 1941",0012_003049_000201.pdf,604744,
2,0,0012_003049_000202,The Male Animal,1,650,The Male Animal,University of Tennessee Theatre Department ,"Thurber, James","Nugent, Elliot",,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, October 27, 28, 29, 1941, Tyson Junior High School, Directed by Paul L. Soper",1941-42,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1941-10-27,Text,,image/jpeg,0235,,,English,,"Oct 27-29, 1941",0012_003049_000202.pdf,658040,
3,0,0012_003049_000203,The Eve of St. Mark,1,650,The Eve of St. Mark,University of Tennessee Theatre Department ,"Anderson, Maxwell",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, January 25, 26, 27, 1943, Tyson Junior High School, Directed by Paul L. Soper",1942-43,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1943-01-25,Text,,image/jpeg,0235,,,English,,"Jan 25-27, 1943",0012_003049_000203.pdf,2473654,
4,0,0012_003049_000204,Stage Door,1,650,Stage Door,University of Tennessee Theatre Department ,"Kaufman, George","Ferber, Edna",,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, March 23, 24, 1943, Tyson Junior High School, Directed by Paul L. Soper",1942-43,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1943-03-23,Text,,image/jpeg,0235,,,English,,"Mar 23-24, 1943",0012_003049_000204.pdf,3351877,
5,0,0012_003049_000205,Guest in the House,1,650,Guest in the House,University of Tennessee Theatre Department ,"Wilde, Hagar","Eunson, Dale",,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, November 2, 3, 4, 1943, Tyson Junior High School, Directed by Paul L. Soper",1943-44,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1943-11-02,Text,,image/jpeg,0235,,,English,,"Nov 2-4, 1943",0012_003049_000205.pdf,2369868,
6,0,0012_003049_000206,Personal Appearance,1,650,Personal Appearance,University of Tennessee Theatre Department ,"Riley, Lawrence",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, February 9, 10, 11, 1944, Tyson Junior High School, Directed by Paul L. Soper",1943-44,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1944-02-09,Text,,image/jpeg,0235,,,English,,"Feb 9-11, 1944",0012_003049_000206.pdf,2282599,
7,0,0012_003049_000207,Kind Lady,1,650,Kind Lady,University of Tennessee Theatre Department ,"Chodorov, Edward",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, November 1, 2, 3, 1944, Tyson Junior High School, Directed by Paul L. Soper",1944-45,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1944-11-01,Text,,image/jpeg,0235,,,English,,"Nov 1-3, 1944",0012_003049_000207.pdf,3318762,
8,0,0012_003049_000208,The Little Foxes,1,650,The Little Foxes,University of Tennessee Theatre Department ,"Hellman, Lillian",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, January 31, February 1, 2, 1945, Tyson Junior High School, Directed by Paul L. Soper",1944-45,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1945-01-31,Text,,image/jpeg,0235,,,English,,"Jan 31, Feb 1-2, 1945",0012_003049_000208.pdf,4619627,
9,0,0012_003049_000209,Papa is  All,1,650,Papa is  All,University of Tennessee Theatre Department ,"Greene, Patterson",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, April 25, 26, 27, 1945, Tyson Junior High School, Directed by Paul L. Soper",1944-45,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1945-04-25,Text,,image/jpeg,0235,,,English,,"Apr 25-27, 1945",0012_003049_000209.pdf,4476058,
10,0,0012_003049_000210,Our Town,1,650,Our Town,University of Tennessee Theatre Department ,"Wilder, Thornton",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, November 6, 7, 8, 9, 1945, Tyson Junior High School, Directed by Paul L. Soper",1945-46,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1945-11-06,Text,,image/jpeg,0235,,,English,,"Nov 6-9, 1945",0012_003049_000210.pdf,6376144,
